product_name,brand,category,usage_frequency,price_usd,rating,number_of_reviews,product_size,skin_type,gender_target,packaging_type,main_ingredient,cruelty_free,country_of_origin,kategori_harga,rating_score,price_score,review_score,dss_score
divine blush,perricone md,blush,monthly,78.19,1.1,156,50ml,oily,male,compact,hyaluronic acid,True,usa,sedang,0.22000000000000003,0.5128937781270091,0.010454362685967028,0.26595900597529615
magic concealer,fenty beauty,concealer,occasional,87.46,2.4,2339,150ml,combination,male,spray,retinol,False,italy,sedang,0.48,0.4466747624830346,0.22989545637314032,0.4199815200195385
super face oil,kvd beauty,face oil,daily,32.41,4.4,3922,50ml,combination,unisex,tube,salicylic acid,True,germany,murah,0.8800000000000001,0.8399171369383528,0.38902291917973464,0.7697797249174527
ultra foundation,perricone md,foundation,monthly,75.18,3.7,2099,200ml,dry,unisex,bottle,vitamin c,True,italy,sedang,0.74,0.5343953139509965,0.20577000402090873,0.5714725949894807
ultra moisturizer,patrick ta,moisturizer,occasional,45.48,1.3,3178,250ml,sensitive,female,spray,retinol,False,italy,murah,0.26,0.7465533252375169,0.31423401688781666,0.4168128009488184
super foundation,farsali,foundation,weekly,126.88,4.7,7329,30ml,oily,male,jar,aloe vera,False,japan,mahal,0.9400000000000001,0.16508322023001654,0.731503819863289,0.6658257300416628
super blush,sisley,blush,monthly,36.46,3.5,7879,100ml,normal,female,stick,shea butter,True,south korea,murah,0.7,0.8109864990356455,0.7867913148371531,0.7506542126781242
perfect eyeliner,danessa myricks,eyeliner,daily,52.48,2.5,7762,100ml,sensitive,unisex,jar,retinol,False,italy,sedang,0.5,0.6965497535538253,0.7750301568154403,0.6139709574292357
magic cc cream,e.l.f.,cc cream,weekly,63.88,4.4,6971,50ml,dry,female,compact,vitamin c,True,australia,sedang,0.8800000000000001,0.6151153653832417,0.6955166867712103,0.7636379469692146
magic lip gloss,tatcha,lip gloss,monthly,34.12,3.2,2654,200ml,dry,unisex,spray,glycerin,False,japan,murah,0.64,0.8277019787127653,0.2615601125854443,0.6206226161309184
ultra serum,kiehl’s,serum,monthly,141.43,4.7,1440,50ml,combination,unisex,stick,hyaluronic acid,True,germany,mahal,0.9400000000000001,0.061147224801771594,0.1395255327704061,0.5162492739946127
super eye shadow,ilia beauty,eyeshadow,daily,104.76,4.5,7146,50ml,sensitive,male,stick,salicylic acid,True,germany,mahal,0.9,0.32309450675048224,0.7131081624447125,0.6895499845140872
divine bb cream,tatcha,bb cream,occasional,15.09,4.2,6526,250ml,sensitive,unisex,stick,glycerin,False,france,murah,0.8400000000000001,0.9636402600185727,0.6507840772014475,0.8392488934458613
ultra powder,tatcha,powder,daily,30.27,4.7,3594,30ml,normal,unisex,tube,retinol,True,south korea,murah,0.9400000000000001,0.8552039431387957,0.35605146763168477,0.7977714764679757
magic lipstick,pat mcgrath labs,lipstick,weekly,80.42,2.8,7101,50ml,sensitive,female,jar,glycerin,False,italy,sedang,0.5599999999999999,0.49696406886206157,0.7085846401286691,0.5708061486843523
divine foundation,kiehl’s,foundation,daily,113.83,1.8,5037,200ml,normal,unisex,spray,aloe vera,True,usa,mahal,0.36,0.2583041645831846,0.5011057498994773,0.35771239935485083
divine makeup remover,juvia’s place,makeup remover,weekly,77.77,3.5,4513,100ml,normal,female,spray,aloe vera,False,uk,sedang,0.7,0.5158939924280306,0.44843184559710497,0.59445456684783
perfect eyeliner,charlotte tilbury,eyeliner,monthly,147.22,2.8,3396,100ml,sensitive,male,jar,glycerin,True,uk,mahal,0.5599999999999999,0.01978712765197521,0.3361479694410937,0.3531657321838113
super powder,kylie cosmetics,powder,occasional,148.94,1.2,9726,100ml,oily,male,compact,hyaluronic acid,False,australia,mahal,0.24,0.007500535752553827,0.9724567752312022,0.3167415157720066
magic serum,tatcha,serum,monthly,121.01,1.4,6017,100ml,combination,male,jar,aloe vera,False,italy,mahal,0.27999999999999997,0.20701478677048357,0.5996180136710897,0.322028038765363
perfect foundation,hourglass,foundation,daily,100.76,4.1,3162,50ml,normal,male,tube,shea butter,True,usa,mahal,0.82,0.35166797628402025,0.31262565339766785,0.5780255235647396
divine eyeliner,glossier,eyeliner,monthly,27.81,4.0,9247,250ml,combination,unisex,jar,salicylic acid,True,italy,murah,0.8,0.8727766269019216,0.9243063932448733,0.8466942667195512
ultra face mask,it cosmetics,face mask,weekly,72.85,3.9,2551,100ml,dry,male,tube,aloe vera,True,japan,sedang,0.78,0.5510393599542824,0.2512062726176116,0.6055530625098071
super blush,kiehl’s,blush,occasional,73.27,4.6,8280,200ml,dry,unisex,spray,shea butter,False,uk,sedang,0.9199999999999999,0.548039145653261,0.8271009248090069,0.7898319286577795
magic setting spray,too faced,setting spray,daily,112.05,2.9,1794,30ml,oily,female,bottle,aloe vera,True,uk,mahal,0.58,0.271019358525609,0.17511057498994773,0.4063279225556722
ultra setting spray,clinique,setting spray,occasional,25.56,2.8,4604,100ml,combination,female,bottle,shea butter,False,uk,murah,0.5599999999999999,0.8888492035145368,0.45757941294732607,0.6381706436438263
divine eyeliner,bourjois,eyeliner,daily,18.02,4.1,7854,30ml,sensitive,unisex,compact,vitamin c,False,france,murah,0.82,0.9427101935852561,0.7842782468837958,0.8496687074523359
ultra foundation,tatcha,foundation,daily,81.32,3.8,4089,200ml,oily,female,jar,shea butter,False,germany,sedang,0.76,0.4905350382170156,0.40581021310816245,0.6083225540867372
ultra concealer,yves saint laurent,concealer,weekly,55.8,2.0,2882,250ml,sensitive,male,jar,glycerin,True,japan,sedang,0.4,0.6728337738409886,0.28447929232006436,0.4587459906163095
super moisturizer,perricone md,moisturizer,monthly,65.77,4.8,4647,150ml,oily,female,stick,vitamin c,False,japan,sedang,0.96,0.6016144010286449,0.4619018898271009,0.7528646982740137
magic primer,hourglass,primer,daily,14.9,4.1,8781,100ml,oily,unisex,tube,retinol,True,italy,murah,0.82,0.9649974998214158,0.8774628065942903,0.8749918112652828
divine highlighter,tarte,highlighter,weekly,94.69,4.5,6906,200ml,oily,female,bottle,retinol,True,italy,sedang,0.9,0.39502821630116447,0.6889827100924809,0.7063050069088456
magic eyeliner,nars,eyeliner,occasional,15.39,4.8,7742,150ml,normal,unisex,tube,hyaluronic acid,True,germany,murah,0.96,0.9614972498035574,0.7730197024527543,0.9230531154316179
divine setting spray,sisley,setting spray,monthly,12.96,4.2,3549,250ml,combination,unisex,bottle,vitamin c,True,germany,murah,0.8400000000000001,0.9788556325451818,0.35152794531564135,0.7839622788266828
ultra face oil,becca,face oil,occasional,103.14,3.0,633,100ml,oily,female,tube,glycerin,False,france,mahal,0.6,0.3346667619115652,0.05840369923602734,0.41208076842067504
perfect concealer,morphe,concealer,weekly,149.75,3.6,4230,100ml,oily,unisex,stick,aloe vera,False,australia,mahal,0.72,0.001714408172012405,0.4199839163650985,0.4445111057246234
magic concealer,rms beauty,concealer,daily,35.8,2.3,4028,50ml,sensitive,male,spray,vitamin c,False,australia,murah,0.45999999999999996,0.8157011215086792,0.3996783273019702,0.5546460019129977
super face mask,e.l.f.,face mask,daily,15.66,4.8,8570,200ml,oily,unisex,bottle,vitamin c,True,japan,murah,0.96,0.9595685406100436,0.8562525130679534,0.9391210647966037
super primer,tatcha,primer,monthly,48.66,3.5,3217,100ml,dry,unisex,spray,shea butter,False,australia,murah,0.7,0.7238374169583541,0.31815440289505426,0.630782105666517
divine face mask,yves saint laurent,face mask,weekly,112.07,1.3,4401,50ml,dry,unisex,compact,glycerin,True,south korea,mahal,0.26,0.2708764911779413,0.4371733011660635,0.29869760758659514
perfect bronzer,rare beauty,bronzer,monthly,102.61,3.0,2223,30ml,sensitive,unisex,compact,retinol,True,france,mahal,0.6,0.338452746624759,0.2182348210695617,0.44518278820134005
divine lip liner,sisley,lipstick,weekly,101.33,3.8,2557,200ml,normal,female,bottle,hyaluronic acid,True,south korea,mahal,0.76,0.3475962568754911,0.25180940892641734,0.5346407588479308
super bronzer,tarte,bronzer,weekly,140.47,2.5,6366,250ml,dry,male,stick,hyaluronic acid,True,south korea,mahal,0.5,0.06800485748982077,0.6347004422999598,0.39734154570693825
perfect eyeliner,drunk elephant,eyeliner,weekly,45.58,4.7,9412,100ml,sensitive,female,stick,glycerin,True,france,murah,0.9400000000000001,0.7458389884991785,0.9408926417370326,0.8819302248971601
magic bronzer,juvia’s place,bronzer,daily,56.0,2.9,2426,50ml,combination,male,jar,retinol,False,south korea,sedang,0.58,0.6714051003643118,0.2386409328508243,0.5391497166794583
ultra eyeliner,huda beauty,eyeliner,occasional,119.51,1.5,8521,200ml,normal,unisex,jar,glycerin,False,germany,mahal,0.3,0.21772983784556044,0.8513268998793727,0.3855843313295427
magic primer,too faced,primer,occasional,64.47,1.0,4956,30ml,sensitive,unisex,tube,glycerin,False,japan,sedang,0.2,0.6109007786270448,0.4929634097305991,0.38186291553423324
ultra face mask,farsali,face mask,monthly,81.37,3.9,8947,200ml,combination,male,bottle,glycerin,True,uk,sedang,0.78,0.4901778698478463,0.8941495778045838,0.7158832765152706
ultra cleanser,urban decay,cleanser,monthly,71.94,3.0,8001,50ml,dry,male,bottle,glycerin,True,japan,sedang,0.6,0.5575398242731624,0.7990550864495376,0.6270729645718562
magic contour,laura mercier,contour,daily,85.64,1.5,2019,100ml,combination,female,compact,hyaluronic acid,False,italy,sedang,0.3,0.4596756911207944,0.19772818657016486,0.32744834465027134
magic bb cream,yves saint laurent,bb cream,monthly,51.19,2.3,2565,250ml,normal,female,jar,glycerin,True,italy,sedang,0.45999999999999996,0.7057646974783913,0.25261359067149175,0.4922521273778157
divine cleanser,kylie cosmetics,cleanser,monthly,147.85,4.9,3011,200ml,oily,male,stick,aloe vera,False,france,mahal,0.9800000000000001,0.015286806200442982,0.29744672295938884,0.5540753864520107
ultra bb cream,urban decay,bb cream,occasional,98.8,4.6,9134,250ml,normal,female,jar,aloe vera,False,germany,sedang,0.9199999999999999,0.36566897635545403,0.9129473260956976,0.7522901581257757
ultra face oil,pat mcgrath labs,face oil,weekly,41.0,2.6,1942,200ml,oily,unisex,spray,vitamin c,True,uk,murah,0.52,0.7785556111150796,0.18998793727382388,0.5315642707892887
divine moisturizer,natasha denona,moisturizer,occasional,141.0,2.0,3129,30ml,normal,male,tube,salicylic acid,True,usa,mahal,0.4,0.06421887277662697,0.309308403699236,0.2811273425728353
divine bb cream,rare beauty,bb cream,weekly,114.44,4.3,3215,100ml,dry,female,bottle,retinol,True,france,mahal,0.86,0.25394671047932005,0.31795335745878567,0.5697746846355531
ultra eye shadow,anastasia beverly hills,eyeshadow,monthly,43.84,1.1,3647,150ml,combination,male,compact,retinol,False,france,murah,0.22000000000000003,0.7582684477462676,0.3613791716928026,0.4097563686624408
ultra lipstick,morphe,lipstick,weekly,104.84,2.3,6493,200ml,normal,unisex,compact,hyaluronic acid,False,australia,mahal,0.45999999999999996,0.32252303735981147,0.6474668275030157,0.45625027670854656
perfect makeup remover,make up for ever,makeup remover,occasional,50.25,3.5,8703,250ml,sensitive,female,stick,glycerin,False,france,sedang,0.7,0.7124794628187727,0.869622034579815,0.7376682457615947
magic powder,charlotte tilbury,powder,weekly,106.68,3.3,6178,250ml,normal,unisex,spray,aloe vera,False,uk,mahal,0.6599999999999999,0.3093792413743839,0.6158021712907117,0.5459742066704575
divine contour,ilia beauty,contour,monthly,83.67,4.2,684,150ml,sensitive,female,tube,retinol,False,south korea,sedang,0.8400000000000001,0.4737481248660619,0.06353035786087656,0.574830509031994
magic face mask,yves saint laurent,face mask,monthly,48.19,2.0,4172,100ml,dry,male,spray,glycerin,True,usa,murah,0.4,0.7271947996285449,0.4141535987133092,0.5009891596312254
ultra highlighter,charlotte tilbury,highlighter,occasional,142.01,4.7,117,100ml,normal,female,bottle,shea butter,False,japan,mahal,0.9400000000000001,0.05700407171940869,0.0065339766787293925,0.48840801685156854
magic lip liner,urban decay,lipstick,occasional,93.25,2.3,554,150ml,dry,female,jar,aloe vera,False,usa,sedang,0.45999999999999996,0.4053146653332381,0.050462404503417775,0.36168688050065495
ultra foundation,glossier,foundation,weekly,135.11,4.5,8406,150ml,normal,female,spray,retinol,False,australia,mahal,0.9,0.10629330666476178,0.8397667872939284,0.6498413494582143
divine bb cream,tatcha,bb cream,weekly,92.26,4.9,452,100ml,sensitive,unisex,spray,glycerin,True,france,sedang,0.9800000000000001,0.41238659904278874,0.04020908725371934,0.6217577971635805
perfect blush,bobby brown,blush,occasional,47.75,4.4,7608,50ml,combination,female,jar,glycerin,True,australia,murah,0.8800000000000001,0.7303378812772341,0.7595496582227583,0.8110112960277219
magic lip gloss,shiseido,lip gloss,monthly,65.75,1.6,8286,100ml,normal,female,spray,salicylic acid,True,usa,sedang,0.32,0.6017572683763126,0.8277040611178126,0.5060679927364563
super lipstick,bobby brown,lipstick,weekly,130.19,3.3,1379,100ml,dry,unisex,jar,vitamin c,True,germany,mahal,0.6599999999999999,0.14143867419101375,0.1333936469642139,0.39911033165014687
divine concealer,bite beauty,concealer,monthly,45.26,4.2,6884,200ml,dry,female,spray,vitamin c,True,australia,murah,0.8400000000000001,0.7481248660618616,0.6867712102935264,0.7817917018772638
perfect exfoliator,laura mercier,exfoliator,daily,87.32,1.5,6447,250ml,combination,male,compact,salicylic acid,False,germany,sedang,0.3,0.44767483391670837,0.642842782468838,0.41287100666878007
ultra cc cream,nars,cc cream,weekly,20.01,1.2,8949,250ml,normal,unisex,spray,salicylic acid,True,japan,murah,0.24,0.9284948924923209,0.8943506232408525,0.5774185923958668
magic face oil,fenty beauty,face oil,monthly,76.67,1.4,4049,100ml,sensitive,female,bottle,aloe vera,False,usa,sedang,0.27999999999999997,0.5237516965497535,0.40178930438279054,0.3774833698414842
ultra primer,tatcha,primer,occasional,62.04,2.1,7145,250ml,dry,female,bottle,shea butter,False,italy,sedang,0.42000000000000004,0.6282591613686692,0.7130076397265782,0.5410792763559165
divine cc cream,patrick ta,cc cream,occasional,91.31,4.3,5773,50ml,normal,unisex,jar,retinol,True,germany,sedang,0.86,0.41917279805700414,0.5750904704463209,0.6707699335063655
ultra setting spray,yves saint laurent,setting spray,weekly,39.81,4.4,8844,30ml,combination,unisex,tube,shea butter,True,uk,murah,0.8800000000000001,0.7870562183013072,0.8837957378367511,0.8528760130577424
divine makeup remover,rms beauty,makeup remover,daily,16.53,4.2,8236,100ml,combination,unisex,stick,retinol,False,germany,murah,0.8400000000000001,0.9533538109864991,0.8226779252110977,0.8705417283381692
perfect eye shadow,bobby brown,eyeshadow,monthly,34.03,1.1,1676,150ml,oily,unisex,stick,shea butter,False,australia,murah,0.22000000000000003,0.8283448817772698,0.16324889425010053,0.39115324338320107
perfect setting spray,becca,setting spray,weekly,14.09,2.1,5893,200ml,sensitive,unisex,spray,aloe vera,True,germany,murah,0.42000000000000004,0.9707836274019573,0.5871531966224367,0.6186657275450745
ultra cleanser,juvia’s place,cleanser,weekly,147.39,4.1,9013,250ml,oily,unisex,tube,aloe vera,False,italy,mahal,0.82,0.018572755196799906,0.9007840772014475,0.5957286419993295
perfect cleanser,patrick ta,cleanser,daily,82.51,4.4,7666,50ml,combination,unisex,compact,aloe vera,True,japan,sedang,0.8800000000000001,0.4820344310307879,0.7653799758745476,0.737686324484146
perfect moisturizer,charlotte tilbury,moisturizer,daily,31.77,2.9,5373,30ml,oily,male,jar,glycerin,True,italy,murah,0.58,0.8444888920637188,0.5348813831926015,0.6503229442576359
super contour,shiseido,contour,monthly,69.6,2.0,6159,30ml,normal,unisex,bottle,shea butter,False,france,sedang,0.4,0.5742553039502822,0.61389223964616,0.4950550391143167
perfect setting spray,milk makeup,setting spray,monthly,69.32,2.8,3164,100ml,oily,female,tube,vitamin c,False,japan,sedang,0.5599999999999999,0.57625544681763,0.3128266988339365,0.5154419738120763
magic lip liner,hourglass,lipstick,weekly,48.5,1.5,1841,100ml,normal,unisex,stick,vitamin c,False,germany,murah,0.3,0.7249803557396957,0.17983514274225976,0.40346113527036065
ultra lipstick,shiseido,lipstick,monthly,23.14,2.8,8188,30ml,combination,female,spray,shea butter,True,south korea,murah,0.5599999999999999,0.9061361525823273,0.8178528347406514,0.7154114127228285
perfect lip liner,perricone md,lipstick,monthly,34.16,2.6,4262,30ml,normal,male,jar,retinol,False,australia,murah,0.52,0.8274162440174299,0.42320064334539603,0.5928650018743082
magic powder,anastasia beverly hills,powder,daily,27.88,4.9,405,30ml,normal,female,bottle,hyaluronic acid,True,japan,murah,0.9800000000000001,0.8722765911850847,0.03548451950140732,0.758779881255807
magic face mask,perricone md,face mask,occasional,39.65,4.9,3037,30ml,sensitive,unisex,spray,aloe vera,False,south korea,murah,0.9800000000000001,0.7881991570826488,0.3000603136308806,0.7864718098509708
divine bronzer,kiehl’s,bronzer,daily,58.52,4.0,3600,250ml,dry,male,tube,vitamin c,False,italy,sedang,0.8,0.6534038145581827,0.35665460394049053,0.6673520651555529
divine mascara,rare beauty,mascara,daily,96.32,3.6,4840,50ml,sensitive,unisex,spray,salicylic acid,True,south korea,sedang,0.72,0.3833845274662476,0.4813027744270205,0.5712759131252784
perfect powder,shiseido,powder,weekly,140.17,4.1,8534,50ml,combination,female,spray,aloe vera,False,japan,mahal,0.82,0.07014786770483616,0.8526336952151187,0.6015710993544745
super bb cream,tarte,bb cream,weekly,46.79,2.0,4915,250ml,oily,male,spray,aloe vera,False,japan,murah,0.4,0.7371955139652833,0.48884197828709286,0.5189270498470036
divine primer,ilia beauty,primer,monthly,117.99,2.7,7750,100ml,sensitive,female,bottle,retinol,True,germany,mahal,0.54,0.22858775626830496,0.7738238841978287,0.49334110372005724
ultra bronzer,juvia’s place,bronzer,daily,62.19,2.2,4709,150ml,dry,male,bottle,glycerin,False,france,sedang,0.44000000000000006,0.6271876562611616,0.46813429835142745,0.501783156548634
ultra serum,drunk elephant,serum,weekly,15.73,2.1,2588,200ml,sensitive,female,spray,shea butter,True,uk,murah,0.42000000000000004,0.9590685048932066,0.25492561318858065,0.5487056741056782
perfect lip gloss,make up for ever,lip gloss,daily,122.04,4.4,6102,200ml,dry,male,bottle,retinol,True,south korea,mahal,0.8800000000000001,0.19965711836559752,0.608162444712505,0.6215296244521803
ultra exfoliator,clinique,exfoliator,monthly,101.54,3.9,4090,150ml,dry,female,stick,shea butter,True,japan,mahal,0.78,0.3460961497249804,0.4059107358262967,0.5750109920827535
ultra highlighter,rare beauty,highlighter,weekly,54.47,4.1,7762,30ml,sensitive,male,jar,shea butter,False,usa,sedang,0.82,0.6823344524608901,0.7750301568154403,0.7697063671013551
super lip gloss,morphe,lip gloss,occasional,90.59,2.1,3072,30ml,normal,unisex,bottle,glycerin,True,germany,sedang,0.42000000000000004,0.4243160225730409,0.303578608765581,0.3980105285250285
magic lip liner,glossier,lipstick,daily,19.75,1.9,2204,250ml,combination,male,tube,aloe vera,False,australia,murah,0.38,0.9303521680120008,0.21632488942501005,0.5123706282886022
ultra lip gloss,perricone md,lip gloss,monthly,90.07,2.0,6692,150ml,sensitive,female,stick,shea butter,False,usa,sedang,0.4,0.42803057361240093,0.6674708484117411,0.4619033417660685
divine lip gloss,glossier,lip gloss,monthly,141.58,2.6,2808,250ml,normal,female,jar,aloe vera,True,south korea,mahal,0.52,0.06007571969426384,0.2770406111781263,0.3334308381439044
ultra powder,glossier,powder,monthly,86.44,3.2,482,150ml,normal,unisex,jar,glycerin,False,south korea,sedang,0.64,0.4539609972140868,0.04322476879774829,0.4648332529237757
ultra moisturizer,sisley,moisturizer,monthly,76.98,2.1,3845,30ml,combination,female,jar,hyaluronic acid,False,uk,sedang,0.42000000000000004,0.5215372526609043,0.38128266988339365,0.44271770977495006
magic serum,kiehl’s,serum,daily,52.34,4.8,2624,150ml,dry,unisex,jar,retinol,True,germany,sedang,0.96,0.6975498249874992,0.25854443104141533,0.7409738337045328
ultra exfoliator,e.l.f.,exfoliator,occasional,101.92,2.7,5806,30ml,dry,male,jar,aloe vera,False,italy,mahal,0.54,0.3433816701192942,0.5784077201447527,0.4886960450647388
super primer,farsali,primer,occasional,42.45,2.3,3220,100ml,dry,female,compact,glycerin,True,uk,murah,0.45999999999999996,0.7681977284091721,0.31845597104945716,0.524150512732643
magic face oil,kiehl’s,face oil,occasional,91.76,1.9,9538,50ml,sensitive,female,tube,retinol,True,usa,sedang,0.38,0.415958282734481,0.9535585042219542,0.5054991856647352
ultra moisturizer,tatcha,moisturizer,occasional,42.44,2.2,188,150ml,dry,male,spray,hyaluronic acid,True,germany,murah,0.44000000000000006,0.768269162083006,0.013671089666264576,0.45321496655815474
ultra makeup remover,fenty beauty,makeup remover,weekly,44.44,3.7,9299,250ml,dry,male,spray,shea butter,False,uk,murah,0.74,0.7539824273162369,0.9295335745878569,0.7821014431124425
super lip liner,fenty beauty,lipstick,occasional,101.02,1.7,5960,100ml,sensitive,male,spray,retinol,False,germany,mahal,0.33999999999999997,0.3498107007643404,0.5938882187374347,0.3937208539767891
ultra eye shadow,nars,eyeshadow,weekly,35.25,2.8,3633,30ml,oily,male,stick,vitamin c,False,italy,murah,0.5599999999999999,0.8196299735695407,0.3599718536389224,0.5978833627986466
magic moisturizer,bobby brown,moisturizer,weekly,131.42,3.5,7769,250ml,sensitive,female,tube,glycerin,True,australia,mahal,0.7,0.13265233230945084,0.7757338158423803,0.5449424628613113
divine eye shadow,pat mcgrath labs,eyeshadow,daily,86.56,3.9,7676,50ml,normal,unisex,tube,salicylic acid,False,usa,sedang,0.78,0.4531037931280806,0.7663852030558906,0.6792081785496022
super makeup remover,pat mcgrath labs,makeup remover,occasional,149.5,3.2,589,100ml,combination,male,bottle,vitamin c,False,usa,mahal,0.64,0.003500250017858475,0.05398069963811822,0.33184621493298117
perfect blush,milk makeup,blush,weekly,106.4,4.1,3617,150ml,normal,unisex,jar,aloe vera,True,france,mahal,0.82,0.3113793842417315,0.3583634901487736,0.5750865133022741
ultra primer,it cosmetics,primer,occasional,117.81,4.5,3592,50ml,normal,unisex,bottle,shea butter,True,germany,mahal,0.9,0.22987356239731416,0.3558504221954162,0.5901321531582775
divine highlighter,urban decay,highlighter,occasional,91.25,2.1,4179,100ml,normal,female,jar,hyaluronic acid,False,uk,sedang,0.42000000000000004,0.4196014001000071,0.4148572577402493,0.41885187157805204
magic face oil,kvd beauty,face oil,daily,89.57,2.6,855,200ml,combination,unisex,tube,retinol,True,japan,sedang,0.52,0.4316022573040932,0.08071974266184158,0.40562462572359625
magic primer,charlotte tilbury,primer,occasional,43.97,1.6,8745,250ml,oily,unisex,stick,aloe vera,True,uk,murah,0.32,0.7573398099864277,0.8738439887414555,0.5619707407442194
divine cc cream,colourpop,cc cream,monthly,113.31,1.9,720,50ml,oily,female,tube,retinol,False,france,mahal,0.38,0.26201871562254453,0.0671491757137113,0.2820354498295056
ultra powder,danessa myricks,powder,occasional,120.97,2.1,2083,100ml,dry,male,spray,glycerin,False,germany,mahal,0.42000000000000004,0.207300521465819,0.20416164053075994,0.3130224845458977
divine lip gloss,kylie cosmetics,lip gloss,daily,147.22,2.4,4140,200ml,sensitive,male,bottle,vitamin c,True,italy,mahal,0.48,0.01978712765197521,0.4109368717330117,0.32812351264219486
divine foundation,colourpop,foundation,daily,88.24,4.3,4870,200ml,dry,male,bottle,salicylic acid,False,japan,sedang,0.86,0.44110293592399463,0.48431845597104944,0.6591945719714083
perfect lip liner,juvia’s place,lipstick,daily,39.09,4.3,1289,30ml,dry,male,spray,salicylic acid,True,south korea,murah,0.86,0.7921994428173441,0.12434660233212706,0.6925291533116287
divine makeup remover,it cosmetics,makeup remover,monthly,74.32,1.6,5220,150ml,oily,unisex,bottle,salicylic acid,True,south korea,sedang,0.32,0.5405386099007072,0.5195014073180538,0.4260618644338229
magic bronzer,huda beauty,bronzer,daily,11.7,4.3,53,50ml,sensitive,unisex,tube,aloe vera,False,australia,murah,0.86,0.9878562754482463,0.00010052271813429835,0.7263769871781007
perfect moisturizer,perricone md,moisturizer,weekly,46.3,1.5,246,50ml,combination,female,tube,aloe vera,False,australia,murah,0.3,0.7406957639831417,0.01950140731805388,0.3761090106585533
divine highlighter,kylie cosmetics,highlighter,daily,70.3,1.5,6438,150ml,combination,male,compact,vitamin c,True,japan,sedang,0.3,0.569254946781913,0.6419380780056293,0.4491640996356998
magic concealer,laura mercier,concealer,monthly,37.65,4.6,6612,50ml,normal,unisex,spray,shea butter,False,usa,murah,0.9199999999999999,0.8024858918494179,0.6594290309609971,0.8326315737470248
perfect cc cream,patrick ta,cc cream,occasional,111.65,4.1,2611,50ml,oily,male,jar,vitamin c,False,germany,mahal,0.82,0.2738767054789628,0.2572376357056695,0.5436105387848227
ultra primer,colourpop,primer,occasional,44.4,2.0,8561,150ml,sensitive,unisex,compact,glycerin,True,australia,murah,0.4,0.7542681620115723,0.8553478086047447,0.5973500103244207
ultra exfoliator,tarte,exfoliator,occasional,116.56,2.1,7136,50ml,normal,male,spray,salicylic acid,False,usa,mahal,0.42000000000000004,0.23880277162654484,0.7121029352633695,0.4240614185406374
ultra exfoliator,kvd beauty,exfoliator,occasional,104.67,3.7,2996,250ml,dry,male,tube,shea butter,False,usa,mahal,0.74,0.3237374098149868,0.29593888218737435,0.526308999381971
perfect powder,make up for ever,powder,occasional,57.29,1.9,2546,200ml,sensitive,female,spray,retinol,True,south korea,sedang,0.38,0.6621901564397457,0.2507036590269401,0.43879777873731174
ultra bronzer,ilia beauty,bronzer,monthly,78.23,3.3,7866,100ml,normal,female,jar,vitamin c,True,japan,sedang,0.6599999999999999,0.5126080434316738,0.7854845195014073,0.6408793169297835
divine lip gloss,rms beauty,lip gloss,daily,61.37,3.4,9714,250ml,combination,male,spray,vitamin c,True,germany,sedang,0.6799999999999999,0.6330452175155369,0.9712505026135907,0.7241636657773792
perfect cleanser,kvd beauty,cleanser,occasional,149.69,1.8,6432,200ml,dry,female,compact,aloe vera,False,usa,mahal,0.36,0.002143010215015395,0.6413349416968235,0.3089098914038693
perfect makeup remover,perricone md,makeup remover,daily,35.88,4.2,8146,250ml,sensitive,male,jar,shea butter,True,japan,murah,0.8400000000000001,0.8151296521180085,0.8136308805790109,0.8272650717512048
ultra face mask,bobby brown,face mask,monthly,40.75,3.7,9001,150ml,sensitive,unisex,stick,retinol,False,usa,murah,0.74,0.7803414529609258,0.899577804583836,0.7840179968050449
perfect highlighter,bobby brown,highlighter,occasional,93.57,1.1,4159,50ml,oily,female,tube,aloe vera,False,south korea,sedang,0.22000000000000003,0.4030287877705552,0.41284680337756335,0.3134779970066792
ultra moisturizer,bobby brown,moisturizer,weekly,85.92,2.8,335,200ml,oily,unisex,tube,salicylic acid,True,italy,sedang,0.5599999999999999,0.4576755482534467,0.028447929232006435,0.42299225032243526
magic cc cream,danessa myricks,cc cream,monthly,21.92,3.0,5070,250ml,oily,unisex,tube,hyaluronic acid,False,france,murah,0.6,0.9148510607900564,0.5044229995979091,0.6753399181565988
divine eye shadow,charlotte tilbury,eyeshadow,weekly,11.48,4.0,5097,30ml,oily,female,jar,vitamin c,True,japan,murah,0.8,0.9894278162725909,0.5071371129875352,0.7982557674792844
perfect cleanser,tarte,cleanser,occasional,66.69,2.3,9857,50ml,combination,unisex,compact,salicylic acid,False,japan,sedang,0.45999999999999996,0.5950425030359312,0.9856252513067953,0.6056378011721384
super cc cream,e.l.f.,cc cream,daily,17.88,2.2,1410,30ml,sensitive,unisex,jar,shea butter,True,japan,murah,0.44000000000000006,0.94371026501893,0.13650985122637715,0.5304150497509545
super exfoliator,farsali,exfoliator,monthly,98.39,2.7,6942,200ml,sensitive,unisex,jar,hyaluronic acid,True,germany,sedang,0.54,0.36859775698264163,0.6926015279453156,0.5190996326838556
perfect eye shadow,colourpop,eyeshadow,monthly,100.78,1.1,433,250ml,combination,female,spray,vitamin c,True,italy,mahal,0.22000000000000003,0.3515251089363526,0.03829915560916767,0.2231173638027393
